AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.3338295285447715;0.0;0.027433156132590928;0.07798381304588299;0.0;0.06469946786313271;-0.02620388664203845;0.0308019677110328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14159713494975967;-0.0328060360385882;0.004619722268145835;0.04751055230425839;0.0;0.018968891985854535;-0.022559627135112788;-0.0006779460672271866;0.0;0.0;0.0;-0.0011658138970787988;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.027433156132590928;0.0;0.26012873580567186;0.18355078550736598;0.0;0.2213368026296581;0.21156649481514322;0.1237072373629169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0007288200697277843;-0.04384741604683897;0.12634217636345327;0.07674606615601515;0.0;0.11976382639872823;0.08554828196161762;0.05489637497638634;0.0;0.0;0.0;0.020106202664921982;0.0;0.0;0.0;0.0
0.0;0.0;0.07798381304588299;0.0;0.18355078550736598;0.4606179761306268;0.0;0.16583104300934462;0.10986715802807297;0.05603583997980579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032368093201751706;-0.06001013255548394;0.10079901853626953;0.14359417140924782;0.0;0.09404350813853149;0.05228670060456125;0.026351505784424266;0.0;0.0;0.0;0.02336247520653997;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.06469946786313271;0.0;0.2213368026296581;0.16583104300934462;0.0;0.5568244396444306;0.23299985870658188;0.1795368287509096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02723762041791089;-0.057728235207396866;0.08968312479319693;0.06674318144906315;0.0;0.21858899146178098;0.07611354029350983;0.0562536614970549;0.0;0.0;0.0;2.607845179531212e-05;0.0;0.0;0.0;0.0
0.0;0.0;-0.02620388664203845;0.0;0.21156649481514322;0.10986715802807297;0.0;0.23299985870658188;0.4282708208589097;0.19604981666875035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.04339987336830855;-0.012040841515838738;0.11139006916071052;0.05713450522850213;0.0;0.14967438667090782;0.18803604140706928;0.11101387193474055;0.0;0.0;0.0;0.0008404098198803336;0.0;0.0;0.0;0.0
0.0;0.0;0.0308019677110328;0.0;0.1237072373629169;0.05603583997980579;0.0;0.1795368287509096;0.19604981666875035;0.412291986587864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.002719048936519756;-0.010807055096249078;0.053092073511026495;0.02858506613304148;0.0;0.08994269683408075;0.08053238957628667;0.18785138426892797;0.0;0.0;0.0;0.02457781743885737;0.0;0.0;0.0;0.0
