AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9652363260512119;0.0;0.17933018500207965;0.31161844121729343;0.0;0.22380697688680665;0.007902999538006043;0.12840641973630207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27146653516677194;-0.05570638124730892;0.08766144693970353;0.13306454291859576;0.0;0.07985034950965597;-0.013989311225657866;0.03553035239910127;0.0;0.0;0.0;0.021367644684636564;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.17933018500207965;0.0;0.5011620988759153;0.4750325350952565;0.0;0.40821601202278923;0.18419506198779356;0.19021247384812512;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035799732291057595;-0.06431759100907398;0.23067569886649167;0.15347275309330335;0.0;0.19210673428044733;0.06888922824817338;0.05384953536610447;0.0;0.0;0.0;0.032339314818061175;0.0;0.0;0.0;0.0
0.0;0.0;0.31161844121729343;0.0;0.4750325350952565;1.1458300023542234;0.0;0.3723949562393808;0.11626253055230898;0.09704806559272988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09893486727717547;-0.09375321152053549;0.24553016369043415;0.3113097287729763;0.0;0.1937320991543298;0.048626664748607114;0.016847855466241877;0.0;0.0;0.0;0.04603992916450654;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.22380697688680665;0.0;0.40821601202278923;0.3723949562393808;0.0;0.8160622542824786;0.19789581498318626;0.2468127904027625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06135722409174592;-0.047860065908919704;0.16077209379020385;0.11457096265645003;0.0;0.29654283445683693;0.05437572110204466;0.03698189201796675;0.0;0.0;0.0;0.004377735877909974;0.0;0.0;0.0;0.0
0.0;0.0;0.007902999538006043;0.0;0.18419506198779356;0.11626253055230898;0.0;0.19789581498318626;0.19861335764189253;0.13617040510453007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.01735556538648841;-0.008997901436058211;0.07482942558823288;0.038421497959622644;0.0;0.09369877463485174;0.08318640683767554;0.04794895130804457;0.0;0.0;0.0;0.001258096330619642;0.0;0.0;0.0;0.0
0.0;0.0;0.12840641973630207;0.0;0.19021247384812512;0.09704806559272988;0.0;0.2468127904027625;0.13617040510453007;0.5280894136337564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028487383036599947;-0.016739246417882794;0.06829305439937376;0.044218057486282415;0.0;0.10043284211201078;0.05564653627577127;0.22256223801072123;0.0;0.0;0.0;0.026011564499289114;0.0;0.0;0.0;0.0
