AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.7736305672670927;0.0;0.1945259285407517;0.28466750424388493;0.0;0.20968684466726792;0.05743190768455263;0.16364110901906678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22528871835226796;-0.05831617572387036;0.08999185120692918;0.12708515247215701;0.0;0.09960376538031086;0.015219190006000163;0.05981244470639945;0.0;0.0;0.0;0.010652642947100508;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.1945259285407517;0.0;0.4950152502835585;0.4937140965329582;0.0;0.3552617363076097;0.24144780123342754;0.22160891795410176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05882066293634925;-0.07611668702899006;0.22821457987573146;0.16561650887752105;0.0;0.19539595027369625;0.11365114490573071;0.07948499498374725;0.0;0.0;0.0;0.040835691774500416;0.0;0.0;0.0;0.0
0.0;0.0;0.28466750424388493;0.0;0.4937140965329582;1.1365233470007494;0.0;0.3372483438787917;0.17590825221106934;0.1556254561941052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12169810061477657;-0.10854815583791755;0.260957107157222;0.31053932843463544;0.0;0.21975639130880106;0.10668107367871454;0.06653192888486982;0.0;0.0;0.0;0.0709690081330552;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.20968684466726792;0.0;0.3552617363076097;0.3372483438787917;0.0;0.6503489775154664;0.2150640311209131;0.24213457655583281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08222295876361543;-0.06384207931433347;0.14478260307012403;0.11807815469338014;0.0;0.2544142841950792;0.07481757161647645;0.05897068846218645;0.0;0.0;0.0;0.01557177114142588;0.0;0.0;0.0;0.0
0.0;0.0;0.05743190768455263;0.0;0.24144780123342754;0.17590825221106934;0.0;0.2150640311209131;0.301124189724563;0.20967013407699395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005450745151982448;-0.031223935275936022;0.10716348343363502;0.07410310112913421;0.0;0.11982254833179107;0.1382951005195215;0.08665566609754816;0.0;0.0;0.0;0.003962817974666808;0.0;0.0;0.0;0.0
0.0;0.0;0.16364110901906678;0.0;0.22160891795410176;0.1556254561941052;0.0;0.24213457655583281;0.20967013407699395;0.5475822620051284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04683919168942815;-0.04153475057249359;0.08991628624821835;0.06871772097507518;0.0;0.11320578226206583;0.0963566082013174;0.23241000381058322;0.0;0.0;0.0;0.022784227031695303;0.0;0.0;0.0;0.0
