AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.39200094030510674;0.0;0.06043615916999548;0.0996035446996814;0.0;0.09238642765025147;0.007708472264442101;0.07044498960160539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16273618744088963;-0.026423394951361326;0.023052331034226423;0.055545688147018005;0.0;0.03258505236291431;-0.008037505649400766;0.0205285278113216;0.0;0.0;0.0;0.013543789184930736;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.06043615916999548;0.0;0.2055135779323888;0.15970993438126657;0.0;0.16466246687772806;0.09151608835668598;0.09076087952272407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023682494152851077;-0.04021204388987081;0.09858723630742035;0.07011767527234339;0.0;0.0827775741724158;0.037927407010331274;0.02743623797288874;0.0;0.0;0.0;0.02935357374201939;0.0;0.0;0.0;0.0
0.0;0.0;0.0996035446996814;0.0;0.15970993438126657;0.4961680997116127;0.0;0.12795621671016358;0.052059266213798534;0.03653572703732278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05090643093298687;-0.05604846547004642;0.09103517524935782;0.1617769229348044;0.0;0.06896649445057736;0.029323413853155112;0.012164653407883336;0.0;0.0;0.0;0.028251126289952994;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.09238642765025147;0.0;0.16466246687772806;0.12795621671016358;0.0;0.4478197389771874;0.10950379041720987;0.13889689418695858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058422547617333516;-0.04135358118873211;0.06491469449092188;0.05498062838174095;0.0;0.1650741264048686;0.031115458391984388;0.01802037153544125;0.0;0.0;0.0;0.018394007209826785;0.0;0.0;0.0;0.0
0.0;0.0;0.007708472264442101;0.0;0.09151608835668598;0.052059266213798534;0.0;0.10950379041720987;0.1664529722082845;0.10134657846177594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.010218352705605229;-0.009736573176243497;0.0420406127504175;0.02720517242646112;0.0;0.06268703893446956;0.08326081645998444;0.04832648246030311;0.0;0.0;0.0;0.0067355503922705935;0.0;0.0;0.0;0.0
0.0;0.0;0.07044498960160539;0.0;0.09076087952272407;0.03653572703732278;0.0;0.13889689418695858;0.10134657846177594;0.38802425395398404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02851501572309159;-0.012904448986504648;0.0349225877106982;0.0255896619414595;0.0;0.06031900806240717;0.04333333263159922;0.18004958977686691;0.0;0.0;0.0;0.031483210781351884;0.0;0.0;0.0;0.0
