AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0112143249825267;0.0;0.23330400384495997;0.41559828684386907;0.0;0.22985887459939777;-0.038160485548825694;0.10201988759855629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2789223745491048;-0.05630450488469171;0.09762036162805982;0.1525743340385164;0.0;0.06772945485904823;-0.04232132545023618;0.021637469150267947;0.0;0.0;0.0;0.026978246394431648;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.23330400384495997;0.0;0.6323209969734492;0.6305680091344266;0.0;0.4232913673042053;0.2566693105628468;0.23188931828128928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05450070945065193;-0.10285970520172698;0.2743796966059919;0.17406673449475155;0.0;0.18788926951702367;0.10618465456025028;0.09304045008547657;0.0;0.0;0.0;0.03395351896274672;0.0;0.0;0.0;0.0
0.0;0.0;0.41559828684386907;0.0;0.6305680091344266;1.4788868673677864;0.0;0.38175337845553986;0.11571111537872708;0.12871010693025187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.146213692716303;-0.14959800569440446;0.30516497307134277;0.33898744759070354;0.0;0.16782397985339503;0.051903099077946484;0.04686114787203161;0.0;0.0;0.0;0.06270141878245883;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.22985887459939777;0.0;0.4232913673042053;0.38175337845553986;0.0;0.8259168225534966;0.22496670390836923;0.22470910533697244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07913574022556566;-0.06677745343895843;0.14848006207598663;0.11724879002281072;0.0;0.2690458663925021;0.05701723944016221;0.04816102644485004;0.0;0.0;0.0;0.005431593734188883;0.0;0.0;0.0;0.0
0.0;0.0;-0.038160485548825694;0.0;0.2566693105628468;0.11571111537872708;0.0;0.22496670390836923;0.3459513795257934;0.19264473431281073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.02857346560566171;-0.025848933090587046;0.09683780077104487;0.04307107536253393;0.0;0.11446930465841103;0.15768189524936538;0.08842376735852833;0.0;0.0;0.0;-0.003359760140530985;0.0;0.0;0.0;0.0
0.0;0.0;0.10201988759855629;0.0;0.23188931828128928;0.12871010693025187;0.0;0.22470910533697244;0.19264473431281073;0.5093028681296919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022643963705600213;-0.022861896811637052;0.0677886504750073;0.038935079080005625;0.0;0.09118379563499587;0.08706693339807155;0.22673555409268195;0.0;0.0;0.0;0.026230240802666154;0.0;0.0;0.0;0.0
